City,PG Name,Nearby College,Address,Rent (INR/Month),Room Type,Amenities,Distance to College (km),Rating,Reviews,Contact,Nearby Companies,Nearby Locations,PG Type,Vacancy Status,Meals Included,Meal Charges,Electricity Charges,Room Size (sq.ft),Public Transport Access,Gym,Wi-Fi Speed,Payment Frequency,Advance Payment Required,Security Features,Social Events
Coimbatore,Martin-Mcdonald,Coimbatore Institute of Technology,"228 Lutz Rest Apt. 389
Port Karenport, KY 75079",8186,Shared,"Wi-Fi, AC, Laundry, Kitchen",3.241206200586345,4.790592412674689,Physical black although happen bill.,(050)881-6349,Wallace-Gordon,Gomezville,Co-ed,Not Available,Yes,2850,Included,146,5 min walk to bus stop,Yes,50 Mbps,Quarterly,No,CCTV,Yes
Coimbatore,Horton LLC,Coimbatore Institute of Technology,"7219 Erin Track
Port Pamelaview, WV 39613",9607,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.757218746644728,4.651779708255516,Form cost bill cover.,7705086558,Smith-Rodriguez,New Luis,Male-only,Not Available,Yes,2141,Not Included,164,5 min walk to bus stop,Yes,Unlimited,Quarterly,No,Security Guard,No
Tiruchirappalli,Howard Inc,Bharathidasan University,"3716 Thomas Landing Suite 436
Ashleybury, PA 48373",9537,Shared,"AC, Laundry, Parking",2.3194917058998157,3.81270150595885,State test full response against heart.,968-148-5129x797,Hayes-Mendez,New Jessicaview,Male-only,Available,Yes,2496,Included,153,Near local train,Yes,100 Mbps,Monthly,No,"CCTV, Guard at Night",Yes
Salem,"Warren, Manning and Gallagher",Periyar University,"157 Graham Forks
Lake Spencer, ND 74153",14233,Shared,"AC, Laundry, Parking",2.1995121193495613,3.8595737984884697,Suddenly risk smile who loss way pass.,001-231-985-4980x458,Morales PLC,Williamsmouth,Male-only,Not Available,No,0,Not Included,142,Near local train,No,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",Yes
Tiruchirappalli,Gibson-Campos,Bharathidasan University,"75755 Kennedy Trace
Garzaland, IA 37581",11696,Double,"Wi-Fi, AC, Laundry, Kitchen",4.474131139064102,4.6609819691122105,Ever reach interview generation size.,(535)065-1698x6916,"Stewart, Abbott and Coleman",Lake Trevor,Female-only,Available,No,0,Not Included,167,5 min walk to bus stop,No,Unlimited,Monthly,Yes,CCTV,Yes
Coimbatore,Melton-Martin,Coimbatore Institute of Technology,"39623 Archer Crescent Apt. 888
Lake Eric, MS 40806",5858,Shared,"Wi-Fi, AC, Laundry, Kitchen",3.990072174551113,3.039916597702189,Almost Mr majority try large evening federal.,001-940-172-2801x22430,Green LLC,North Zachary,Female-only,Available,Yes,2879,Included,139,Near metro station,No,50 Mbps,Monthly,Yes,CCTV,No
Vellore,"Meyer, Herrera and Murphy",VIT Vellore,"620 Bowers Neck Suite 537
Johnstad, TX 81204",12530,Shared,"AC, Laundry, Parking",4.009876007271506,4.347352345842601,Everybody up those.,(955)630-6097,"Wallace, Powell and Allen",North Jessicabury,Female-only,Available,No,0,Included,137,Near local train,Yes,100 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Erode,"Clark, Mason and Huerta",Erode Arts and Science College,"58600 Cynthia Field
New Amanda, PA 66598",12605,Shared,"Wi-Fi, Laundry",1.8771737229653538,4.612538226803388,Result science talk be.,001-434-105-0127x0413,Harris-Solis,West Tanya,Female-only,Not Available,Yes,1478,Not Included,152,Near metro station,No,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",Yes
Vellore,Powell-Mejia,VIT Vellore,"0935 Matthew Vista Apt. 692
Stephensonberg, KY 75108",8972,Single,"Wi-Fi, Laundry",4.491635185841689,3.6216767625880797,Single drive successful store.,606.828.8124x315,Matthews Group,West Mikemouth,Female-only,Not Available,No,0,Not Included,169,Near metro station,Yes,Unlimited,Monthly,Yes,"CCTV, Guard at Night",Yes
Tiruchirappalli,"Harris, Riley and Carlson",Bharathidasan University,"826 Daniel Branch Apt. 024
North Vincent, MI 86374",12448,Single,"Wi-Fi, AC, Laundry, Kitchen",1.7110000278616448,4.611776454616674,Low feeling say whose field despite letter war.,+1-802-892-0104x68784,Herrera PLC,North Davidshire,Male-only,Available,Yes,1023,Not Included,175,Near metro station,Yes,50 Mbps,Monthly,No,"CCTV, Guard at Night",Yes
Madurai,Pham-Adams,Tamil Nadu Medical University,"3348 Carla Plaza
Maynardtown, MT 57582",5649,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.589066668364172,3.5958153442040626,By some end kid including need magazine.,+1-292-952-9432x7160,Smith Inc,Millerborough,Co-ed,Not Available,No,0,Not Included,107,5 min walk to bus stop,No,50 Mbps,Quarterly,No,Security Guard,No
Erode,"Cruz, Kaiser and Kelley",Erode Arts and Science College,"4143 Perez Cove Suite 572
Millerburgh, NV 34834",5413,Double,"AC, Laundry, Parking",2.5830330156997476,3.7755124285888737,By production degree letter.,(340)875-8877,Lopez LLC,North Briantown,Co-ed,Not Available,Yes,2714,Included,162,Near local train,No,50 Mbps,Monthly,No,Security Guard,Yes
Coimbatore,Douglas-Hansen,PSG College of Technology,"29593 Wolfe Causeway
Lake Christopherton, IA 79940",8761,Shared,"Wi-Fi, Laundry",2.20654839149627,4.306079360984814,Yard play result itself describe practice could way.,+1-046-183-2549,"Carpenter, Morgan and Bonilla",Port Danielleville,Male-only,Available,Yes,1740,Not Included,151,Near metro station,Yes,50 Mbps,Monthly,Yes,CCTV,Yes
Madurai,Larson-Garrett,Madurai Kamaraj University,"1801 Nathan Rest Apt. 960
East Michelle, AZ 77910",13551,Double,"Wi-Fi, AC, Laundry, Kitchen",2.0772170418581783,4.000576690292597,Job better around official manage.,(069)563-0183x5091,Murphy-Hernandez,East Laura,Co-ed,Not Available,No,0,Not Included,128,5 min walk to bus stop,No,50 Mbps,Monthly,Yes,Security Guard,No
Madurai,Silva PLC,VIT Madurai,"3036 Craig Falls
Port Leahport, KY 18071",10449,Shared,"Wi-Fi, AC, Laundry, Kitchen",3.2950930350443226,4.975170694179186,Work final quite pretty name do style.,911.146.1722x14439,Hale Ltd,Alvaradochester,Male-only,Not Available,Yes,1986,Included,182,Near local train,Yes,Unlimited,Monthly,Yes,CCTV,Yes
Madurai,Watson-Lee,Tamil Nadu Medical University,"941 Sullivan Divide
East Mariafurt, IN 23003",9190,Double,"Wi-Fi, AC, Laundry, Kitchen",4.763492307383524,3.9274736437136832,List particular audience sit task.,199.878.1145x647,Williams LLC,North John,Female-only,Available,No,0,Not Included,122,5 min walk to bus stop,No,100 Mbps,Quarterly,Yes,Security Guard,No
Chennai,"Sutton, Lowe and Melendez",University of Madras,"55019 Mullen Groves
Ericside, NE 24255",8846,Double,"AC, Laundry, Parking",2.3520437960207614,3.995693652151698,Under total seek data reality while compare.,438-753-5123x6285,Pugh PLC,Noblefort,Female-only,Available,Yes,1831,Included,190,Near metro station,No,Unlimited,Monthly,Yes,Security Guard,No
Madurai,Shaw Ltd,VIT Madurai,"806 Thompson Forest
East Charles, DE 29698",8641,Single,"Wi-Fi, Laundry",3.0021778188704684,4.031666563130388,Technology deep ask mean two lose.,+1-341-722-7071x2806,Martinez Ltd,West Diana,Female-only,Available,Yes,1466,Included,140,Near local train,No,100 Mbps,Quarterly,No,Security Guard,Yes
Madurai,Frederick Ltd,VIT Madurai,"44404 Hamilton Union Suite 691
North Lindsay, TN 23728",10258,Single,"Wi-Fi, Laundry",2.4069267332786195,3.6584654613785204,Hand stock process see fine child threat these.,(991)619-6164,Baker LLC,Leslieville,Co-ed,Available,Yes,2243,Not Included,139,Near metro station,No,50 Mbps,Monthly,No,CCTV,No
Coimbatore,"Johnson, Lee and Anderson",PSG College of Technology,"580 Ramos Meadows Suite 171
West Matthew, NH 55568",11036,Shared,"Wi-Fi, Laundry",4.894663221966681,3.431067224948949,Middle always never turn send various out.,(190)386-8960x03782,"Martinez, Clarke and Peterson",Jasonville,Female-only,Not Available,Yes,2072,Included,150,5 min walk to bus stop,Yes,Unlimited,Monthly,No,"CCTV, Guard at Night",Yes
